model,split_train_ratio,split_test_ratio,train_samples,validation_samples,test_samples,epochs_trained,accuracy,macro_precision,macro_recall,macro_f1,roc_auc_macro_ovr,roc_auc_micro,weights_path,model_path
resnet50,0.05,0.95,2250,250,47500,4,0.842421052631579,0.8468398899248408,0.842421052631579,0.8422578144105239,0.9868637417051399,0.9871796101939059,/app/outputs/split-impact-seed-42/models/resnet50_train5_test95.weights.h5,
efficientnetb0,0.05,0.95,2250,250,47500,4,0.7801473684210526,0.7837959425413434,0.7801473684210526,0.7801512827182446,0.9748856780547861,0.97598481014466,/app/outputs/split-impact-seed-42/models/efficientnetb0_train5_test95.weights.h5,
mobilenetv2,0.05,0.95,2250,250,47500,4,0.7781894736842105,0.7895335116717942,0.7781894736842105,0.7785575926447308,0.9761021985841797,0.9754946948599569,/app/outputs/split-impact-seed-42/models/mobilenetv2_train5_test95.weights.h5,
resnet50,0.1,0.9,4500,500,45000,4,0.8601333333333333,0.864856078521,0.8601333333333333,0.8605357118041471,0.9897792488340192,0.9901905575034292,/app/outputs/split-impact-seed-42/models/resnet50_train10_test90.weights.h5,
efficientnetb0,0.1,0.9,4500,500,45000,4,0.8092444444444444,0.8118821470342503,0.8092444444444444,0.8093782315161875,0.9814134603566529,0.9824030285322358,/app/outputs/split-impact-seed-42/models/efficientnetb0_train10_test90.weights.h5,
mobilenetv2,0.1,0.9,4500,500,45000,4,0.8013333333333333,0.8125449197975841,0.8013333333333332,0.7998662184294372,0.9818321989026064,0.9801613641975309,/app/outputs/split-impact-seed-42/models/mobilenetv2_train10_test90.weights.h5,
resnet50,0.2,0.8,9000,1000,40000,4,0.8727,0.8752623179267165,0.8727,0.8730427142789541,0.9914474631944445,0.9919759430902778,/app/outputs/split-impact-seed-42/models/resnet50_train20_test80.weights.h5,
mobilenetv2,0.2,0.8,9000,1000,40000,4,0.831775,0.8350979206511369,0.831775,0.8310242384749278,0.9854839017361112,0.9857965964930555,/app/outputs/split-impact-seed-42/models/mobilenetv2_train20_test80.weights.h5,
efficientnetb0,0.2,0.8,9000,1000,40000,4,0.82875,0.8296842258056178,0.82875,0.8280793505005104,0.9850804267361111,0.9859164590972223,/app/outputs/split-impact-seed-42/models/efficientnetb0_train20_test80.weights.h5,
resnet50,0.5,0.5,22500,2500,25000,4,0.88696,0.8915762535758098,0.88696,0.8864900236210881,0.9936557742222222,0.9934623611555555,/app/outputs/split-impact-seed-42/models/resnet50_train50_test50.weights.h5,
mobilenetv2,0.5,0.5,22500,2500,25000,4,0.85008,0.8498411650634432,0.85008,0.8487093585141293,0.9879669617777778,0.9887319616000001,/app/outputs/split-impact-seed-42/models/mobilenetv2_train50_test50.weights.h5,
efficientnetb0,0.5,0.5,22500,2500,25000,4,0.84616,0.8470475074142391,0.84616,0.8456972308380977,0.9873722604444446,0.9881733003555555,/app/outputs/split-impact-seed-42/models/efficientnetb0_train50_test50.weights.h5,
resnet50,0.7,0.30000000000000004,31500,3500,15000,4,0.8896,0.8922605256285244,0.8896,0.8890497598640422,0.9940334962962962,0.9941480827160494,/app/outputs/split-impact-seed-42/models/resnet50_train70_test30.weights.h5,
efficientnetb0,0.7,0.30000000000000004,31500,3500,15000,4,0.8538666666666667,0.854902406783542,0.8538666666666666,0.8537902883527743,0.9885283259259261,0.989507084691358,/app/outputs/split-impact-seed-42/models/efficientnetb0_train70_test30.weights.h5,
mobilenetv2,0.7,0.30000000000000004,31500,3500,15000,4,0.8454666666666667,0.8496068261452319,0.8454666666666666,0.8454946958561564,0.9877304296296294,0.9881802624691358,/app/outputs/split-impact-seed-42/models/mobilenetv2_train70_test30.weights.h5,
resnet50,0.8,0.19999999999999996,36000,4000,10000,4,0.8959,0.8964180069510952,0.8958999999999999,0.8951736795173033,0.9942523,0.9946973677777777,/app/outputs/split-impact-seed-42/models/resnet50_train80_test20.weights.h5,
efficientnetb0,0.8,0.19999999999999996,36000,4000,10000,4,0.8559,0.8572980084488103,0.8559000000000001,0.8559702164334786,0.9887222888888887,0.9896764194444444,/app/outputs/split-impact-seed-42/models/efficientnetb0_train80_test20.weights.h5,
mobilenetv2,0.8,0.19999999999999996,36000,4000,10000,4,0.8541,0.8536835528583977,0.8541000000000001,0.8528984344501952,0.9882692166666667,0.9893793838888889,/app/outputs/split-impact-seed-42/models/mobilenetv2_train80_test20.weights.h5,
resnet50,0.85,0.15000000000000002,38250,4250,7500,4,0.8957333333333334,0.8988612617543008,0.8957333333333333,0.8963272643208896,0.9939714370370369,0.9944430785185185,/app/outputs/split-impact-seed-42/models/resnet50_train85_test15.weights.h5,
efficientnetb0,0.85,0.15000000000000002,38250,4250,7500,4,0.8573333333333333,0.8586732292518287,0.8573333333333334,0.8573900999417543,0.9893624888888889,0.9903917530864197,/app/outputs/split-impact-seed-42/models/efficientnetb0_train85_test15.weights.h5,
mobilenetv2,0.85,0.15000000000000002,38250,4250,7500,4,0.8437333333333333,0.8463765178024202,0.8437333333333333,0.8433997753214335,0.9869814913580246,0.987937514074074,/app/outputs/split-impact-seed-42/models/mobilenetv2_train85_test15.weights.h5,
resnet50,0.9,0.09999999999999998,40500,4500,5000,4,0.899,0.9003755760481627,0.899,0.8992801307518352,0.9942896888888887,0.9948407911111112,/app/outputs/split-impact-seed-42/models/resnet50_train90_test10.weights.h5,
efficientnetb0,0.9,0.09999999999999998,40500,4500,5000,4,0.8616,0.864548354501547,0.8615999999999999,0.8620521292688794,0.9894523111111111,0.9904264866666668,/app/outputs/split-impact-seed-42/models/efficientnetb0_train90_test10.weights.h5,
mobilenetv2,0.9,0.09999999999999998,40500,4500,5000,4,0.8556,0.8561046529813771,0.8556000000000001,0.8546648924382225,0.9893397777777778,0.9903422466666665,/app/outputs/split-impact-seed-42/models/mobilenetv2_train90_test10.weights.h5,
resnet50,0.95,0.050000000000000044,42750,4750,2500,4,0.892,0.8929389773148932,0.892,0.8919010589234876,0.9940384,0.9944303377777779,/app/outputs/split-impact-seed-42/models/resnet50_train95_test5.weights.h5,
efficientnetb0,0.95,0.050000000000000044,42750,4750,2500,4,0.8636,0.8650600198025711,0.8635999999999999,0.8636123054226784,0.9900364444444445,0.9910840711111111,/app/outputs/split-impact-seed-42/models/efficientnetb0_train95_test5.weights.h5,
mobilenetv2,0.95,0.050000000000000044,42750,4750,2500,4,0.8536,0.8587912573668438,0.8536000000000001,0.8524190536537304,0.9890215111111111,0.9891630044444444,/app/outputs/split-impact-seed-42/models/mobilenetv2_train95_test5.weights.h5,
